,Cod_Loc,IdProvincia,IdDepartamento,Observaciones,Categoría,Provincia,Departamento,Localidad,Nombre,Dirección,Piso,CP,cod_area,Teléfono,Mail,Web,Información adicional,Latitud,Longitud,TipoLatitudLongitud,Fuente,tipo_gestion,Pantallas,Butacas,espacio_INCAA,año_actualizacion
0,10049030,10,10049,,Salas de cine,Catamarca,Capital,Catamarca,Cinemacenter,Intendente Mamerto Medina 220,s/d,4700,s/d,s/d,s/d,http://www.cinemacenter.com.ar/,,-28.464737,-65.800675,Localización precisa,INCAA / SInCA,Privado comercial,5,743,,2018
1,10091150,10,10091,,Salas de cine,Catamarca,Santa Maria,Santa María,Centro Cultural San Agustín,San Martin 173,s/d,4139,3838,421511,s/d,s/d,,-26.693859,-66.049058,Localización precisa,INCAA / SInCA,Privado comercial,1,440,0,2018
2,22140060,22,22140,,Salas de cine,Chaco,San Fernando,Resistencia,Los Cines De La Costa,Av. Sarmiento 2600,s/d,3500,3794,472200,administracion@loscinesdelacosta.com.ar,http://resistencia.loscinesdelacosta.com.ar/,,-27.430995,-58.962672,Localización precisa,INCAA / SInCA,Privado comercial,5,820,,2018
3,26091020,26,26091,,Salas de cine,Chubut,Sarmiento,Sarmiento,Deborah Jones De Williams,Reg. Inf. Mec. 25 Esquina 20 De Junio,s/d,9020,297,4897169,culturasarmiento@hotmail.com,http://www.culturachubut.gob.ar/…/convo-evita-culturales.ht…,,-45.594374,-69.069594,Localización precisa,INCAA / SInCA,Público municipal,1,80,,2018
4,18007010,18,18007,,Salas de cine,Corrientes,Bella Vista,Bella Vista,Fantasio,Salta 1059,s/d,3432,s/d,s/d,nuevocineteatrorex@gmail.com,https://www.facebook.com/CineFantasioBellaVista/,,-28.508494,-59.045464,Localización precisa,INCAA / SInCA,Privado comercial,1,240,,2018
5,30056070,30,30056,,Salas de cine,Entre Ríos,Gualeguaychu,Gualeguaychú,Cinema Gualeguaychú,25 De Mayo 1383,s/d,2820,263,4553653,cebriancine@gmail.com,http://cinemagualeguaychu.com,,-33.009937,-58.525474,Localización precisa,INCAA / SInCA,Privado comercial,1,330,,2018
6,30084070,30,30084,,Salas de cine,Entre Ríos,Parana,Crespo,Salón Teatro Municipal,25 De Mayo 943,s/d,3116,343,4951160,municres@gmail.com,http://www.crespo.gov.ar,,-32.031231,-60.305828,Localización precisa,INCAA / SInCA,Público municipal,1,180,,2018
7,30028010,30,30028,,Salas de cine,Entre Ríos,Federacion,Chajarí,Cine Gran Libertad,3 De Febrero 3060,s/d,3228,11,49899707,gerenciagranlibertad@gmail.com,http://cinegranlibertad.com/sala/gran-libertad/alias/chaj,,-30.759415,-57.984929,Localización precisa,INCAA / SInCA,Privado comercial,1,400,,2018
8,30084160,30,30084,,Salas de cine,Entre Ríos,Parana,Paraná,Cine Complejo Círculo,Andres Pazos 339,s/d,3100,343,4233222,v-vieiro@hotmail.com,https://www.cinecirculo.com.ar/,,-31.732929,-60.524631,Localización precisa,INCAA / SInCA,Privado comercial,2,300,,2018
9,30008020,30,30008,,Salas de cine,Entre Ríos,Colon,Colón,Starlight,Calle 12 De Abril 287,s/d,3280,3447,424481,samanthaeventos@hotmail.com,https://www.facebook.com/pg/StarlightCineColon/about/?ref=page_internal,,-32.22154,-58.138713,Localización precisa,INCAA / SInCA,Privado comercial,2,154,,2018
10,30049040,30,30049,,Salas de cine,Entre Ríos,Gualeguay,Gualeguay,Altos Del Gualeguay,Rocamora 33,s/d,2840,3444,453306,legales@nefroargentina.com.ar,https://www.facebook.com/pg/CineAltosDeGualeguay/about/?ref=page_internal,,-33.150323,-59.311609,Localización precisa,INCAA / SInCA,Privado comercial,1,198,,2018
11,38094050,38,38094,,Salas de cine,Jujuy,Tilcara,Tilcara,Barbarita Cruz,Belgrano 547,s/d,4624,388,4955462,musica@imagine.com.ar,https://capectilcara.com/,,-23.577105,-65.393961,Localización precisa,INCAA / SInCA,Privado independiente,1,120,si,2018
12,38021060,38,38021,,Salas de cine,Jujuy,Dr. Manuel Belgrano,San Salvador de Jujuy,Cine Auditorium,Independencia Esq. Italia S/N,s/d,4600,388,4632908,cineauditoriumjujuy@gmail.com,https://www.facebook.com/CineAuditoriumJujuyINCAAMercosur/,,-24.187252,-65.292851,Localización precisa,INCAA / SInCA,Otros,1,201,,2018
13,42007010,42,42007,,Salas de cine,La Pampa,Atreuco,Doblas,Centro Cultural Doblas,Cordoba 670,s/d,6305,2953,492102,culturaydeportedoblas@cosedo.com.ar,s/d,,-37.152139,-64.011298,Localización precisa,INCAA / SInCA,Público municipal,1,114,,2018
14,42021020,42,42021,,Salas de cine,La Pampa,Capital,Santa Rosa,Milenium,Escalante 270,s/d,6300,295,4773833,cineamadeus@yahoo.com.ar,https://www.facebook.com/pages/Cine-Milenium/321221581543378,,-36.623122,-64.294797,Localización precisa,INCAA / SInCA,Privado comercial,1,352,,2018
15,46042010,46,46042,,Salas de cine,La Rioja,Chilecito,Chilecito,Cinema,La Plata Y 19 De Febrero,s/d,5360,380,4626907,ericontadoralinares@gmail.com,http://cinema3dlarioja.com/,,-29.163011,-67.495688,Localización precisa,INCAA / SInCA,Privado comercial,2,216,,2018
16,54077060,54,54077,,Salas de cine,Misiones,Libertador Grl. San Martin,Puerto Rico,Cine Teatro Municipal San Martin,Av. San Martin 1474,s/d,3334,3743,422400,cultura.puertoricomnes@gmail.com,https://www.facebook.com/Cine-Teatro-San-Martin-Puerto-Rico-Misiones-611780998973270/,,-26.811821,-55.02552,Localización precisa,INCAA / SInCA,Público municipal,1,520,,2018
17,54063030,54,54063,,Salas de cine,Misiones,Iguazu,Puerto Iguazú,Cine Panoramic Grand,Paraguay 372,s/d,3370,3757,498100,s/d,http://www.panoramicgrand.com,,-25.593393,-54.575744,Localización precisa,INCAA / SInCA,Privado comercial,1,40,,2018
18,54028030,54,54028,,Salas de cine,Misiones,Capital,Posadas,Del Conocimiento,Ruta 12 Y Acceso Oeste (Av. Ulises Lopez),s/d,3300,3764,191010,info@imaxdelconocimiento.com,https://www.parquedelconocimiento.com/,,-27.396198,-55.963477,Localización precisa,INCAA / SInCA,Público provincial,1,546,si,2018
19,66049040,66,66049,,Salas de cine,Salta,General Guemes,General Guemes,Centro Cultural 13 De Febrero,20 De Febrero Esq. Gorriti,s/d,4430,3874,496276,cine13defebrero2013@outlook.com,https://www.facebook.com/Centro-Cultural-13-de-Febrero-Cine-teatro-962533320483179/,,-24.676303,-65.045895,Localización precisa,INCAA / SInCA,Privado comercial,1,252,,2018
20,66028050,66,66028,,Salas de cine,Salta,Capital,Salta,El Teatrino,Aniceto Latorre 1211,s/d,4400,387,4228904,industriaculturalsrl@gmail.com,http://www.elteatrino.com/,,-24.773232,-65.417864,Localización precisa,INCAA / SInCA,Privado comercial,1,120,,2018
21,66028050,66,66028,,Salas de cine,Salta,Capital,Salta,Cinemark,Av. Monseñor Tavella 4400,s/d,4400,s/d,57771000,lventura@cinemark.com.ar,https://www.cinemarkhoyts.com.ar,,-24.832302,-65.428458,Localización precisa,INCAA / SInCA,Privado comercial,5,897,,2018
22,66028050,66,66028,,Salas de cine,Salta,Capital,Salta,Fundación Salta,General Guemes 434,s/d,4400,387,4320481,correofundacionsalta@gmail.com,http://www.distritoteatralsalta.com/espacio/teatro-de-la-fundacion-salta/,,-24.786574,-65.408451,Localización precisa,INCAA / SInCA,Privado comercial,1,145,,2018
23,70028010,70,70028,,Salas de cine,San Juan,Capital,San Juan,Espacio San Juan,Av. Jose Ignacio De La Roza Oeste 806,s/d,5417,264,4238611,cpohl@cpmcines.com,http://www.espaciosanjuan.com/,,-31.539871,-68.572839,Localización precisa,INCAA / SInCA,Privado comercial,5,849,,2018
24,74049060,74,74049,,Salas de cine,San Luis,Junin,Merlo,Cinestar,Av. Del Sol 1120,s/d,5881,2664,475660,campos_horacio@yahoo.com.ar,https://www.facebook.com/CineStarMerlo/,,-32.346991,-64.998214,Localización precisa,INCAA / SInCA,Privado comercial,1,100,,2018
25,74056150,74,74056,,Salas de cine,San Luis,La Capital,San Luis,Municipal José La Vía,Av. Lafinur Y Av. Illia S/N,s/d,5700,2664,403539,elartenlaescuela@gmail.com,https://www.ciudaddesanluis.gov.ar/,,-33.29922,-66.347846,Localización precisa,INCAA / SInCA,Público municipal,1,75,,2018
