,Cod_Loc,IdProvincia,IdDepartamento,Observaciones,categoria,subcategoria,provincia,localidad,nombre,direccion,piso,CP,cod_area,telefono,Mail,Web,Latitud,Longitud,TipoLatitudLongitud,Info_adicional,fuente,jurisdiccion,año_inauguracion,actualizacion
0,6588100,6,6588,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,9 de Julio,Archivo Y Museo Histórico Gral. Julio De Vedia,Libertad 1191,,B6500EVL,2317.0,425 279,archivoymuseo@yahoo.com.ar,www.portaldel9.com.ar,-35.441762,-60.887598,Localización precisa,,DNPyM,Municipal,1920.0,2017
1,6077010,6,6077,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Arrecifes,Museo Y Archivo Histórico De Arrecifes,Gerardo Risso y España,,B2740FMJ,2478.0,452 931,museoarrecifes@hotmail.com,,-34.06697,-60.102555,Localización precisa,,DNPyM,Municipal,1972.0,2017
2,6035010,6,6035,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Avellaneda,Museo Histórico-Sacro  Hno. Rogelio Scortegagna,Calle 11 (Av. San Martín) Nº 830,,S3561AKT,3482.0,481 200,,,-29.118024,-59.654543,Localización precisa,,DNPyM,Municipal,,2017
3,6035010,6,6035,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Avellaneda,Museo Municipal De Artes Plásticas De Avellaneda,"Sarmiento 101, 1 º Piso",,B1870CBC,11.0,4205 9567,,,-34.66211,-58.36327,Localización precisa,,DNPyM,Municipal,1956.0,2017
4,6049020,6,6049,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Azul,Museo Etnográfico Y Archivo Histórico Enrique Squirru,Bartolomé J. Ronco 654,,B7300XAA,2281.0,434 811,museoazul@yahoo.com,,-36.781824,-59.858636,Localización precisa,,DNPyM,Privada,1949.0,2017
5,6056010,6,6056,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bahía Blanca,Museo De Bellas Artes,Sarmiento 450,,B8000HQJ,291.0,459 4006,mac@bblanca.com.ar,,-38.7131,-62.2622,Localización precisa,,DNPyM,Municipal,1935.0,2017
6,6056010,6,6056,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bahía Blanca,Museo De Ciencias,Castelli 3702,,B8003APV,291.0,488 3266,,,-38.6928,-62.3087,Localización precisa,,DNPyM,Municipal,1996.0,2017
7,6056010,6,6056,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bahía Blanca,Museo Y Parque Estereoscópico El Histórico Café Museo,Italia 19,,B8000DKA,291.0,451 0675,,,-38.724527,-62.273735,Localización precisa,,DNPyM,Privada,2006.0,2017
8,6056010,6,6056,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bahía Blanca,Museo De Arte Contemporáneo,Sarmiento 450,,B8000HQJ,291.0,459 4006,mac@bblanca.com.ar,,-38.7131,-62.2622,Localización precisa,,DNPyM,Municipal,2008.0,2017
9,6056010,6,6056,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bahía Blanca,Museo Y Archivo Histórico Municipal,Dorrego 116 Sub Suelo,,B8000FLD,291.0,456 3117,,,-38.7152,-62.2603,Localización precisa,,DNPyM,Municipal,1951.0,2017
10,6063010,6,6063,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Balcarce,Museo Juan Manuel Fangio,Dardo Rocha y Bartolomé Mitre,,B7620BGN,2266.0,425 540,,,-37.85056,-58.255192,Localización precisa,,DNPyM,Privada,1986.0,2017
11,6063010,6,6063,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Balcarce,Museo Histórico Municipal,32 y 35 Emplazado en el Cerro el Triunfo,,B7620CFA,2266.0,421 800,,,-37.85056,-58.255192,Localización precisa,,DNPyM,Municipal,2008.0,2017
12,6490010,6,6490,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Banfield,Museo De Artes Plásticas Pío Collivadino,Medrano 165,,B1828IPC,11.0,4202 5223,,,-34.7482,-58.3946,Localización precisa,,DNPyM,Nacional,1992.0,2017
13,6070010,6,6070,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Baradero,Museo Aeronáutico Baradero Vicente 'Tito' Churín,Jorge Newbery 1450,,B2942EXR,3329.0,481 689,aeroclub_baradero@hotmail.com,,-33.817642,-59.49308,Localización precisa,,DNPyM,Privada,1996.0,2017
14,6756010,6,6756,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Beccar,Museo Lucy Mattos,Av. Libertador 17426,,B1643CRO,11.0,4732 2585,,,-34.458953,-58.520181,Localización precisa,,DNPyM,Privada,2012.0,2017
15,6098010,6,6098,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Berisso,Museo De La Soda Y El Sifón,60 N° 768 / 128 (Rotonda),,B1924CKS,221.0,424 8537,,,-34.901699,-57.921988,Localización precisa,,DNPyM,Privada,,2017
16,6098010,6,6098,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Berisso,Asociación 1871 Museo De Berisso,Av. 32 Esq. Montevideo,,1923,221.0,461 3166,,,-34.877062,-57.856338,Localización precisa,,DNPyM,Privada,2012.0,2017
17,6098010,6,6098,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Berisso,Museo Ornitolólogico Municipal De Berisso,Montevideo 821,,B1923HMH,221.0,464 5574,,,-34.8687,-57.8837,Localización precisa,,DNPyM,Municipal,1986.0,2017
18,6658010,6,6658,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bernal,Museo Municipal Histórico Regional Almirante Brown,25 de Mayo 198,,B1876AWD,11.0,4252 5508,,,-34.7123,-58.2849,Localización precisa,,DNPyM,Municipal,,2017
19,6028010,6,6028,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Burzaco,Museo Claudio León Sempere,Colón 581,,B1852BSE,11.0,4299 7279,,,-34.7918,-58.3503,Localización precisa,,DNPyM,Privada,1986.0,2017
20,6266020,6,6266,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Capilla del Señor,Museo Del Periodismo Bonaerense,Rivadavia 477,,B2812DII,,,,,-34.294305,-59.098521,Localización precisa,,DNPyM,Municipal,1972.0,2017
21,6266020,6,6266,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Capilla del Señor,Museo De Arte Sacro Amalia Sosa Palacio De Carol,Bolívar 338,,B2812AVH,2323.0,492 981,,,-34.295469,-59.100659,Localización precisa,,DNPyM,Privada,2007.0,2017
22,6007010,6,6007,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Carhue,Museo Regional Dr. Adolfo Alsina,Rivadavia y Laprida,,6430,2936.0,430 967,,,-37.181184,-62.761667,Localización precisa,,DNPyM,Municipal,1967.0,2017
23,6602030,6,6602,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Carmen de Patagones,Museo Histórico Regional Emma Nozzi,J.J.Biedma 64,,B8504BVB,2920.0,462 729,,,-40.803265,-62.985805,Localización precisa,,DNPyM,Provincial,1951.0,2017
24,6602030,6,6602,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Carmen de Patagones,Museo Carmen De Patagones De La Prefectura Naval Argentina,Mitre 350,,B8504BUF,2920.0,461 742,,,-40.799546,-62.990096,Localización precisa,,DNPyM,Nacional,1998.0,2017
25,6840010,6,6840,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Caseros,Palacio San José - Museo Y Monumento Histórico Nacional Justo José De Urquiza,Ruta Provincial 39 Km. 128 (Desvio al Norte 3 Km.),,E3262AZR,3442.0,432 620,,,-32.466694,-58.478098,Localización precisa,,DNPyM,Nacional,1936.0,2017
26,6210020,6,6210,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chacabuco,Museo Y Archivo Histórico,Moreno 171,,B6740EGC,2352.0,426 699,,,-34.6409,-60.4669,Localización precisa,,DNPyM,Municipal,,2017
27,6357080,6,6357,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chapadmalal,Museo Unidad Turística Chapadmalal Eva Perón,Ruta Nº 11 Km 33.5 Hotel Nº 5.,,5857,223.0,469 9291,,,-38.178051,-57.651372,Localización precisa,,DNPyM,Nacional,,2017
28,6217010,6,6217,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chascomus,Museo Pampeano,Avda. Lastra y Muñiz,,B7130FRA,2241.0,430 982,,,-35.577998,-58.017113,Localización precisa,,DNPyM,Municipal,1941.0,2017
